,primarytitle,startyear,runtimeminutes,genres,ordering,category,averagerating,numvotes,primaryname,y_pred
3622,Dealer,2004,130,Drama,1,actor,7.0,1017,Felicián Keresztes,1
3623,Dealer,2004,130,Drama,2,actress,7.0,1017,Barbara Thurzó,1
3644,Thirst,2004,109,Drama,1,actor,6.6,316,Hussein Yassin Mahajne,1
3645,Thirst,2004,109,Drama,2,actress,6.6,316,Amal Bweerat,1
3656,Take Me Home,2005,105,Drama,1,actor,8.3,23,Peter Brooke,1
3657,Take Me Home,2005,105,Drama,2,actress,8.3,23,Christine Hartenthaler,1
3662,Runaway,2003,97,Drama,1,actor,6.3,207,Daniele Liotti,1
3663,Runaway,2003,97,Drama,2,actor,6.3,207,Roberto Citran,1
3687,The Neighborhood,2004,80,Action,1,actor,7.5,234,Kid Frost,1
3688,The Neighborhood,2004,80,Action,2,actor,7.5,234,Michael D. Olmos,1
3693,Fantasia,2004,103,Comedy,1,actress,5.3,342,Cecilia Cheung,4
3694,Fantasia,2004,103,Comedy,2,actor,5.3,342,Ching Wan Lau,4
3699,Siblings,2004,85,Comedy,1,actor,6.4,665,Alex Campbell,1
3700,Siblings,2004,85,Comedy,2,actor,6.4,665,Paul Soles,1
3755,Lullaby,2002,90,Drama,1,actor,5.9,10,Sean Bridgers,1
3756,Lullaby,2002,90,Drama,2,actor,5.9,10,I. Karl Golden,1
3761,The Art of Losing,2004,105,Thriller,1,actor,6.3,796,Daniel Giménez Cacho,1
3762,The Art of Losing,2004,105,Thriller,2,actress,6.3,796,Martina García,1
3763,Redemption,2004,108,Drama,1,actor,7.0,53,Richard Antonio,1
3764,Redemption,2004,108,Drama,2,actress,7.0,53,Michelle Asselin,1
3791,Love Express,2004,90,Comedy,1,actress,6.1,36,Mathilda May,1
3792,Love Express,2004,90,Comedy,2,actor,6.1,36,Vincent Winterhalter,1
3884,Hunting Season,2005,79,Horror,1,actor,6.6,110,Nathan Faudree,1
3885,Hunting Season,2005,79,Horror,2,actress,6.6,110,Kelly Ray,1
3890,Nowheresville,2001,85,Comedy,1,actor,7.1,18,Brett Parker,1
3891,Nowheresville,2001,85,Comedy,2,actor,7.1,18,Chris Proulx,1
3972,Seven Days,2005,95,Comedy,1,actor,6.6,730,Eduardo Arroyuelo,1
3973,Seven Days,2005,95,Comedy,2,actress,6.6,730,Martha Higareda,1
3980,Girlfriend,2004,126,Drama,1,actress,3.2,362,Isha Koppikar,4
3981,Girlfriend,2004,126,Drama,2,actor,3.2,362,Aashish Chaudhary,4
4024,Daddy,2004,94,Drama,1,actor,7.4,848,Vladimir Mashkov,1
4025,Daddy,2004,94,Drama,2,actor,7.4,848,Egor Beroev,1
4032,American Gun,2005,95,Drama,1,actress,6.1,3114,Marcia Gay Harden,1
4033,American Gun,2005,95,Drama,2,actor,6.1,3114,Forest Whitaker,1
4080,Dreamland,2006,88,Drama,1,actress,6.3,2464,Agnes Bruckner,1
4081,Dreamland,2006,88,Drama,2,actress,6.3,2464,Kelli Garner,1
4118,Homecoming,2005,109,Drama,1,actor,7.4,42,Josh Hamilton,1
4119,Homecoming,2005,109,Drama,2,actress,7.4,42,Maureen Flannigan,1
4132,Beyond the Ocean,2006,108,Drama,1,actor,6.6,76,Fraser James,1
4133,Beyond the Ocean,2006,108,Drama,2,actor,6.6,76,Djédjé Apali,1
4168,The Jersey Devil,2005,90,Horror,1,actor,6.9,23,David Brown,1
4169,The Jersey Devil,2005,90,Horror,2,actor,6.9,23,Dan De Luca,1
4218,Red Eye,2005,85,Thriller,1,actress,6.5,118953,Rachel McAdams,2
4219,Red Eye,2005,85,Thriller,2,actor,6.5,118953,Cillian Murphy,2
4248,The Intruder,2004,130,Drama,1,actor,6.7,1862,Michel Subor,1
4249,The Intruder,2004,130,Drama,2,actor,6.7,1862,Grégoire Colin,1
4278,The World,2004,143,Drama,1,actress,7.1,3287,Tao Zhao,3
4279,The World,2004,143,Drama,2,actor,7.1,3287,Taishen Cheng,3
4282,Stray Dogs,2004,93,Drama,1,actress,7.1,612,Gol-Ghotai,1
4283,Stray Dogs,2004,93,Drama,2,actor,7.1,612,Zahed,1
4290,Blood,2004,90,Drama,1,actress,5.4,414,Emily Hampshire,4
4291,Blood,2004,90,Drama,2,actor,5.4,414,Jacob Tierney,4
4365,Stranger,2004,101,Drama,1,actress,5.9,243,Malgorzata Bela,1
4366,Stranger,2004,101,Drama,2,actor,5.9,243,Marek Walczewski,1
4377,Drowning,2004,80,Comedy,1,actor,7.9,8,Kelly Nyks,1
4378,Drowning,2004,80,Comedy,2,actress,7.9,8,Jenna Lamia,1
4381,Sugar,2004,103,Drama,1,actress,5.5,17,Ashley Kaye,1
